cwt_data,label,stft_data
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_108.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_108.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_109.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_109.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_11.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_11.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_110.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_110.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_111.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_111.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_112.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_112.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_113.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_113.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_114.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_114.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_115.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_115.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_116.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_116.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_117.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_117.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_118.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_118.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_119.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_119.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_12.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_12.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_120.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_120.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_121.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_121.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_122.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_122.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_123.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_123.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_124.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_124.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_125.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_125.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_126.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_126.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_127.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_127.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_128.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_128.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_129.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_129.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_13.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_13.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_130.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_130.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_131.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_131.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_132.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_132.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_133.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_133.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_134.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_134.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_135.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_135.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_136.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_136.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_137.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_137.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_138.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_138.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_139.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_139.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_14.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_14.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_140.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_140.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_141.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_141.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_142.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_142.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_143.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_143.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_144.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_144.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_145.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_145.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_146.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_146.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_147.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_147.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_148.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_148.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_149.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_149.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_15.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_15.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_150.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_150.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_151.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_151.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_152.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_152.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_153.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_153.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_154.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_154.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_155.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_155.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_156.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_156.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_157.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_157.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_158.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_158.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_159.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_159.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_16.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_16.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_160.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_160.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_161.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_161.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_162.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_162.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_163.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_163.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_164.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_164.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_165.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_165.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_166.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_166.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_167.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_167.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_168.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_168.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_169.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_169.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_17.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_17.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_170.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_170.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_171.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_171.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_172.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_172.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_173.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_173.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_174.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_174.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_175.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_175.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_176.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_176.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_177.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_177.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_178.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_178.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_179.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_179.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_18.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_18.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_180.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_180.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_181.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_181.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_182.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_182.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_183.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_183.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_184.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_184.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_185.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_185.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_186.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_186.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_187.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_187.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_188.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_188.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_189.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_189.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_19.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_19.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_190.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_190.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_191.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_191.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_192.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_192.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_193.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_193.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_194.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_194.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_195.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_195.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_196.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_196.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_197.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_197.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_198.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_198.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_199.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_199.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_2.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_2.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_20.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_20.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_200.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_200.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_201.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_201.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_202.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_202.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_203.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_203.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_204.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_204.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_205.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_205.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_206.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_206.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_207.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_207.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_208.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_208.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_209.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_209.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_21.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_21.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_210.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_210.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_211.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_211.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_212.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_212.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_213.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_213.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_214.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_214.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_215.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_215.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_216.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_216.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_217.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_217.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_218.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_218.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_219.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_219.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_22.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_22.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_220.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_220.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_221.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_221.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_222.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_222.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_223.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_223.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_224.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_224.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_225.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_225.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_226.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_226.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_227.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_227.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_228.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_228.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_229.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_229.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_23.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_23.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_230.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_230.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_231.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_231.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_232.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_232.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_233.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_233.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_234.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_234.png
D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\cwt\0\0_235.png,0,D:\Study\competition_lerning\Yidongbei\Data_version\training\img_labeled\stft\0\0_235.png
